% 1. Title: Kristina Cluster Dataset
%
% 2. Sources:
%      (a) Creator: Kris
%      (b) Donor: None
%      (c) Date: May,2012
%
@RELATION cluster

@ATTRIBUTE x  NUMERIC
@ATTRIBUTE y   NUMERIC

@DATA
2.528825027,-0.832363442
1.896443118,0.92353118
0.900914082,-0.91830212
2.584510944,2.649783106
0.125319858,0.164239172
2.380054876,-0.435594224
1.816007853,-0.041194932
-0.792797068,1.386195179
1.490040623,1.262308199
1.225243266,-0.824027489
0.546010665,1.908204458
0.793121992,1.654628732
2.062257868,-0.150785799
0.681196958,3.003192602
1.786698844,2.186197452
-1.703136172,-0.906994255
1.054881356,1.249815018
1.857396063,1.68435767
-0.363523175,2.379674153
0.222626628,2.610292556
-0.960027301,2.69376047
2.922879718,-0.89974148
0.874015582,2.968844089
2.902888022,0.845754571
1.609511851,1.099647559
2.645159081,2.350090558
-1.849806999,0.480490185
1.700824699,1.499529011
-1.276070244,-0.049130547
-1.926948853,0.736436684
1.89440343,2.721868121
2.454395013,2.404877108
1.195431511,2.709406704
-0.199088481,2.363270467
0.62594575,2.696320646
-1.086927988,-1.133490599
0.346480413,0.658255336
0.75871041,0.244059948
2.164630874,2.034888205
1.817947264,-0.546376141
2.924559613,-0.059290353
0.078556153,1.303263309
-1.548286787,2.132690518
-0.679850391,0.336298537
-0.299960358,1.794518287
-1.151520392,-0.884729026
-0.404724775,1.747818943
-0.913644068,2.639526634
1.935857442,2.241841302
1.052677166,2.077491122
8.601053953,1.449806452
8.38166666,3.780475378
7.59239006,3.494515896
8.133555412,1.378583908
8.364478827,2.215900898
7.075659513,1.859906197
9.159116268,4.817171097
7.632186651,3.314131737
7.207536221,3.652662277
9.776098728,2.786460876
7.843550444,4.183946609
9.067017078,1.516578674
8.366855145,2.110990763
6.410930395,4.205250025
9.025586128,3.021713734
7.912731171,3.971870661
9.150325298,4.013103724
7.537409544,1.661170244
6.879739523,3.135313749
7.866905928,1.845881939
6.038710117,3.697678566
-10.08595729,-6.531906843
-8.488111258,-6.734249353
-9.120747566,-4.647331238
-7.230097771,-6.710845947
-8.584409475,-4.145709991
-9.445542336,-3.641343832
-7.639805555,-6.527505875
-8.410727978,-5.899074554
-7.507043839,-6.063393354
-7.307132483,-6.527514935
-9.658226252,-3.84881711
-7.021664381,-5.237180233
-9.91495347,-4.6452775
-9.232193232,-5.187085152
-9.32924509,-3.48319006
-8.247073174,-3.358427763
-7.589863777,-4.093933582
-9.789729118,-3.984850407
-10.58303213,-5.147753239
-8.734391928,-6.758919001
-7.718691111,-6.334752321
-10.44535923,-5.552118063
-10.01985049,-4.160375357
-8.707599878,-6.459861517
-10.89971304,-6.523659945
-8.001193762,-3.769573927
-9.085422516,-3.476305246
-8.704131603,-5.77898097
-9.090648413,-6.967485189
